# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359899,1,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359899,7,18,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359903,1,18,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359998,1,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,13,18,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,38,17,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,45,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,182,6,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,198,5,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,225,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,240,4,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,257,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,349,5,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,378,6,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,450,7,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359998,579,8,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
